"EntryId","EntryDate","Client","ProjectCode","Consultant","TaskCode","Hours","BillRate","Amount","IsBillable","BillingStatus","Notes"
"TB-000210","2026-08-19","BlueYonder Co","PRJ-187","S. Patel","Report Build","1.27","192","243.84","True","Approved","Work item 8421"
"TB-000211","2026-05-30","BlueYonder Co","PRJ-444","J. Carter","Data Cleanup","1.18","102","120.36","True","Paid","Work item 8175"
"TB-000212","2026-07-07","BlueYonder Co","PRJ-729","M. Rivera","API Integration","4.92","145","713.4","True","Paid","Work item 1409"
"TB-000213","2026-07-01","Fabrikam Inc","PRJ-407","M. Rivera","Report Build","7.18","145","1041.1","True","Paid","Work item 1087"
"TB-000214","2026-07-08","Acme Corp","PRJ-954","D. Kim","Report Build","2.21","116","256.36","True","Paid","Work item 3189"
"TB-000215","2026-07-05","Northwind LLC","PRJ-174","D. Kim","API Integration","4.05","197","797.85","False","Submitted","Work item 6891"
"TB-000216","2026-05-13","Contoso Ltd","PRJ-939","D. Kim","QA Regression","4.63","99","458.37","False","Approved","Work item 9537"
"TB-000217","2026-07-25","Fabrikam Inc","PRJ-612","A. Singh","Data Cleanup","1.89","189","357.21","True","Rejected","Work item 1182"
"TB-000218","2026-04-28","Contoso Ltd","PRJ-614","J. Carter","Data Cleanup","4.55","156","709.8","True","Paid","Work item 7180"
"TB-000219","2026-08-02","BlueYonder Co","PRJ-513","J. Carter","API Integration","0.79","190","150.1","True","Draft","Work item 3798"
"TB-000220","2026-08-03","BlueYonder Co","PRJ-151","D. Kim","UI Prototype","0.5","201","100.5","True","Paid","Work item 7561"
